city,lon,lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
awjilah,21.2869,29.1081,81,59,0,15.14,LY,1659565356
keti bandar,67.4497,24.1447,81.61,85,100,9.35,PK,1659565357
iqaluit,-68.5145,63.7506,49.73,71,40,9.22,CA,1659565357
vaitupu,,,,,,,,
pevek,170.3133,69.7008,34.92,99,100,9.73,RU,1659565357
georgetown,100.3354,5.4112,78.89,90,20,2.3,MY,1659565358
chemax,-87.9333,20.65,94.21,37,28,6.55,MX,1659565358
ballitoville,31.2144,-29.539,61.25,94,43,3.44,ZA,1659565358
ashland,-82.2665,40.8167,89.28,62,1,14.92,US,1659565359
lagoa,-27.9833,39.05,75.11,88,4,8.77,PT,1659565359
nurota,65.6886,40.5614,74.17,31,0,2.39,UZ,1659565359
shenjiamen,122.298,29.9576,82.87,86,1,15.37,CN,1659565359
lloydminster,-110.0016,53.2835,64.62,82,100,8.05,CA,1659565360
calmar,-113.8187,53.2668,66.54,80,100,2.3,CA,1659565360
yanam,82.2167,16.7333,78.75,91,100,1.03,IN,1659565360
boca do acre,-67.3978,-8.7522,85.1,58,100,2.57,BR,1659565361
manuk mangkaw,119.85,4.8,82.99,71,98,3.98,PH,1659565361
mul,79.6667,20.0667,78.26,89,90,5.46,IN,1659565361
tapaua,,,,,,,,
santa isabel do rio negro,-65.0192,-0.4139,78.04,95,99,1.66,BR,1659565362
carballo,-8.691,43.213,68.02,92,46,7.63,ES,1659565075
chiche,-91.065,15.0086,72.46,46,81,7.65,GT,1659565362
cowra,148.6833,-33.8333,58.17,91,100,18.66,AU,1659565362
luderitz,15.1594,-26.6481,54.34,93,0,12.55,NA,1659565363
zhangye,100.4517,38.9342,75.42,51,9,3.56,CN,1659565363
haifa,34.9892,32.8156,72.21,80,0,2.21,IL,1659565069
arraial do cabo,-42.0278,-22.9661,69.76,83,0,4.61,BR,1659565337
port alfred,26.891,-33.5906,60.19,91,33,1.01,ZA,1659565363
bethel,-73.414,41.3712,90.45,48,0,6.91,US,1659565364
bathsheba,-59.5167,13.2167,83.05,87,75,18.41,BB,1659565364
grindavik,-22.4338,63.8424,48.67,76,40,11.5,IS,1659565364
kaitangata,169.8464,-46.2817,44.49,80,100,3.87,NZ,1659565365
vanimo,141.3028,-2.6741,78.03,91,100,5.17,PG,1659565365
westport,-73.3579,41.1415,91.31,52,0,5.75,US,1659565365
kargasok,80.8572,59.0556,49.39,73,2,6.98,RU,1659565366
barentsburg,,,,,,,,
mar del plata,-57.5575,-38.0023,50.88,92,100,5.75,AR,1659565091
kamenka,42.7678,51.3223,70.54,52,100,11.03,RU,1659565366
hithadhoo,73.0833,-0.6,80.56,75,96,17.87,MV,1659565366
kahului,-156.47,20.8947,87.82,51,40,21.85,US,1659565248
yeppoon,150.7333,-23.1333,65.98,86,13,6.91,AU,1659565280
canitas,,,,,,,,
rawannawi,,,,,,,,
bur gabo,,,,,,,,
walvis bay,14.5053,-22.9575,54.09,93,12,3.44,NA,1659565367
rio gallegos,-69.2181,-51.6226,37.45,100,75,12.66,AR,1659565297
ocos,-92.1933,14.5094,86.18,73,100,4.36,GT,1659565367
neryungri,124.6491,56.6709,61.43,95,82,4.34,RU,1659565368
krasnoselkup,82.4667,65.7,49.75,71,18,6.42,RU,1659565368
mandan,-100.8896,46.8267,82.38,45,0,5.75,US,1659565368
battle creek,-85.1797,42.3212,73.45,43,97,16.28,US,1659565207
grand river south east,,,,,,,,
kaka,59.6143,37.3482,83.57,23,0,7.25,TM,1659565088
shancheng,116.0817,34.7953,79.68,87,6,6.15,CN,1659565369
dwarka,68.9678,22.2394,82.2,78,100,9.91,IN,1659565369
am timan,20.2827,11.0297,75.22,83,88,4.59,TD,1659565370
upernavik,-56.1549,72.7868,43.66,77,5,12.06,GL,1659565370
saquena,-73.5167,-4.6667,82.27,81,55,0.65,PE,1659565370
yar-sale,70.8333,66.8333,57.83,66,49,9.08,RU,1659565370
twentynine palms,-116.0542,34.1356,105.94,21,90,3,US,1659565371
raudeberg,5.1352,61.9875,56.07,67,97,19.19,NO,1659565323
touros,-35.4608,-5.1989,76.12,83,25,6.6,BR,1659565371
gold coast,153.4333,-28,66.27,92,15,8.05,AU,1659565229
takayama,137.25,36.1333,71.31,94,63,0.72,JP,1659565372
christchurch,172.6333,-43.5333,51.91,75,100,4,NZ,1659565296
acarau,-40.12,-2.8856,78.13,73,68,13.35,BR,1659565372
montabaur,7.8333,50.4333,81.05,54,52,3.51,DE,1659565372
te anau,167.7167,-45.4167,46,91,98,6.96,NZ,1659565373
arrecife,-13.5477,28.963,73.38,78,20,21.85,ES,1659565373
camacari,-38.3242,-12.6975,76.77,80,43,6.06,BR,1659565102
corn island,-83.0418,12.1694,81.25,79,100,18.41,NI,1659565373
xai-xai,33.6442,-25.0519,61.09,77,0,8.5,MZ,1659565374
soure,-48.5233,-0.7167,79.59,81,17,11.74,BR,1659565374
torring,9.4833,55.85,64.24,90,4,5.84,DK,1659565374
thompson,-97.8558,55.7435,62.76,51,75,8.05,CA,1659565375
hofn,-15.2082,64.2539,48.13,75,75,18.84,IS,1659565375
inhambane,35.3833,-23.865,65.46,69,0,6.08,MZ,1659565375
rosetown,-108.0014,51.5501,76.98,36,87,10.36,CA,1659565376
tiebissou,-5.2257,7.1574,73.49,96,74,5.35,CI,1659565376
nuuk,-51.7216,64.1835,48.81,93,100,0,GL,1659565376
shenzhen,114.0683,22.5455,82.35,84,100,1.92,CN,1659565091
nikel,30.222,69.4128,57.38,78,78,8.7,RU,1659565377
mildura,142.15,-34.2,56.68,63,56,2.42,AU,1659565377
lasa,10.7002,46.6166,68.88,89,17,1.83,IT,1659565377
matara,80.5353,5.9485,76.62,85,100,18.23,LK,1659565378
aklavik,-135.0107,68.2191,64.4,63,40,5.75,CA,1659565378
ola,151.2833,59.5833,57.15,87,100,13.27,RU,1659565378
banda aceh,95.3222,5.5577,78.87,70,100,13.31,ID,1659565379
sao filipe,-24.4956,14.8961,77.41,85,74,4.85,CV,1659565379
doka,35.7667,13.5167,71.31,86,89,5.21,SD,1659565379
hunza,,,,,,,,
pangody,74.4859,65.85,58.1,60,67,6.8,RU,1659565379
tazovskiy,78.7,67.4667,53.51,72,63,6.62,RU,1659565380
richards bay,32.0377,-28.783,65.25,71,25,14.38,ZA,1659565380
phan rang,,,,,,,,
ancud,-73.8203,-41.8697,43.23,80,81,9.48,CL,1659565381
gorontalo,123.0595,0.5412,73.8,94,62,1.97,ID,1659565381
barao de melgaco,-55.9675,-16.1944,83.84,20,6,2.71,BR,1659565381
saleaula,,,,,,,,
korla,86.1469,41.7597,81.55,29,4,6.67,CN,1659565382
huarmey,-78.1522,-10.0681,65.44,77,21,11.72,PE,1659565382
saint george,-113.5841,37.1041,102.25,24,0,4,US,1659565382
esso,158.7,55.9333,53.28,91,100,3.85,RU,1659565383
torredonjimeno,-3.9578,37.7675,86.34,26,0,1.99,ES,1659565383
varadero,-81.2514,23.1536,79.56,73,27,17.78,CU,1659565384
tumannyy,,,,,,,,
ponta delgada,-25.6667,37.7333,74.12,88,20,9.22,PT,1659565384
aksu,80.2644,41.1231,69.87,47,100,5.01,CN,1659565384
clyde river,-68.5914,70.4692,39.43,100,100,12.66,CA,1659565385
khonuu,,,,,,,,
januaria,-44.3667,-15.4833,75.94,31,0,2.1,BR,1659565385
mahebourg,57.7,-20.4081,68.29,77,40,6.91,MU,1659565386
komsomolskiy,71.7189,40.4272,74.91,41,23,2.15,UZ,1659565386
norman wells,-126.8329,65.282,62.64,67,75,11.5,CA,1659565386
porangatu,-49.1486,-13.4408,80.85,27,3,3.11,BR,1659565387
acin,,,,,,,,
guerrero negro,-114.0611,27.9769,78.96,61,22,19.44,MX,1659565387
syasstroy,32.5691,60.1367,60.8,87,86,7.49,RU,1659565388
ust-nera,143.2,64.5667,69.3,69,51,6.44,RU,1659565388
wenling,121.36,28.3669,81.72,85,13,6.04,CN,1659565389
villanueva,-88,15.3167,89.04,66,40,16.11,HN,1659565389
praia da vitoria,-27.0667,38.7333,77.76,94,40,2.57,PT,1659565389
hopelchen,-89.85,19.7667,97.47,29,62,1.92,MX,1659565390
charlestown,151.6667,-32.95,63.68,76,100,5.99,AU,1659565390
ahipara,173.1667,-35.1667,59,81,3,4.47,NZ,1659565391
biloela,150.5,-24.4167,61.52,80,4,3.13,AU,1659565391
karratha,116.8463,-20.7377,62.92,69,4,11.07,AU,1659565391
camacha,-16.3333,33.0833,67.42,73,75,13.8,PT,1659565392
laguna,-121.4238,38.421,105.76,30,0,6.91,US,1659565392
pervomayskoye,46.7102,43.919,72.82,71,17,5.68,RU,1659565392
longhua,114.1919,23.6137,75.15,95,49,2.59,CN,1659565393
yomitan,,,,,,,,
honiara,159.95,-9.4333,83.48,69,6,6.85,SB,1659565393
kalmunai,81.8167,7.4167,78.24,75,98,7.16,LK,1659565393
nivala,24.9667,63.9167,61.68,86,88,9.89,FI,1659565394
stornoway,-6.3865,58.2093,53.92,93,75,4.61,GB,1659565394
qaanaaq,-69.3632,77.484,46,61,77,1.45,GL,1659565394
belaya gora,146.4167,68.5333,47.57,94,100,9.53,RU,1659565395
kruisfontein,24.7314,-34.0033,54.03,95,66,5.46,ZA,1659565396
fortuna,-124.1573,40.5982,72.93,75,20,14.97,US,1659565338
bahia blanca,-62.2724,-38.7196,47.84,65,0,3.56,AR,1659565397
codrington,141.9667,-38.2667,49.37,91,0,17,AU,1659565397
namatanai,152.4333,-3.6667,79.9,84,64,10.96,PG,1659565398
half moon bay,-122.4286,37.4636,92.53,73,100,20.71,US,1659565398
san andres,-81.7006,12.5847,84.22,79,40,13.8,CO,1659565182
borogontsy,131.1683,62.6683,67.64,85,39,3,RU,1659565399
sao joao da barra,-41.0511,-21.6403,69.4,86,0,9.53,BR,1659565399
ahvaz,48.6693,31.3203,103.95,37,5,4.61,IR,1659565399
auki,160.7034,-8.7676,81.34,75,25,4.18,SB,1659565400
songkhla,100.6667,6.8333,81.84,89,100,3.91,TH,1659565400
requena,-1.1004,39.4883,72.79,61,2,5.55,ES,1659565400
vytegra,36.4481,61.0064,60.21,82,91,3.29,RU,1659565401
salalah,54.0924,17.0151,78.89,94,100,3.44,OM,1659565401
souillac,57.5167,-20.5167,68.38,77,40,6.91,MU,1659565401
sitka,-135.33,57.0531,60.69,77,100,4.61,US,1659565219
zaozerne,33.2787,45.1582,73.02,74,0,6.29,UA,1659565402
ugoofaaru,73,5.6667,80.55,80,100,23.42,MV,1659565402
flinders,150.8552,-34.5833,65.37,77,100,5.99,AU,1659565403
vila,-8.1588,42.0304,67.69,78,3,5.06,PT,1659565403
batticaloa,81.6924,7.7102,80.13,69,100,8.99,LK,1659565403
puri,85.85,19.8,81.12,77,100,2.53,IN,1659565403
dubrovka,33.5071,53.6907,63.55,88,97,6.31,RU,1659565404
bud,-86.1758,39.447,91.38,63,8,13.6,US,1659565404
salinas,-121.6555,36.6777,99.57,61,0,16.11,US,1659565160
carutapera,-46.02,-1.195,77.02,86,45,7.14,BR,1659565405
le mars,-96.1656,42.7942,92.71,48,0,10.36,US,1659565135
beaverlodge,-119.4361,55.2166,67.35,32,100,10.87,CA,1659565405
grand gaube,57.6608,-20.0064,68.4,67,99,16.8,MU,1659565405
tahoua,5.2692,14.8888,90.05,42,68,6.24,NE,1659565406
tshikapa,20.8,-6.4167,80.94,42,60,0.89,CD,1659565406
saldanha,17.9442,-33.0117,53.65,71,82,7.4,ZA,1659565406
alice springs,133.8833,-23.7,69.35,32,75,8.05,AU,1659565407
luau,22.2247,-10.7073,75.72,27,97,3.76,AO,1659565407
puerto colombia,-74.9547,10.9878,84.29,79,100,9.53,CO,1659565179
torbay,-52.7314,47.6666,72.75,84,40,18.41,CA,1659565407
saint pete beach,-82.7412,27.7253,91.29,61,0,10.36,US,1659565408
bakchar,82.0711,57.0186,49.46,86,10,5.14,RU,1659565408
sternai,,,,,,,,
san jose,-121.895,37.3394,97.9,45,20,14.97,US,1659565383
leh,77.5833,34.1667,62.37,39,2,4.79,IN,1659565409
isangel,169.2667,-19.55,77.11,94,75,0,VU,1659565367
pafos,32.4167,34.7667,78.58,78,75,4.61,CY,1659565409
jiujiang,115.9833,29.7333,81.77,82,0,2.75,CN,1659565409
coahuayana,-103.6833,18.7333,90.01,59,97,6.06,MX,1659565410
kamen-rybolov,132.0403,44.7481,70.63,92,29,5.64,RU,1659565410
sosnogorsk,53.8817,63.6023,62.13,74,53,5.64,RU,1659565410
socorro,-106.3033,31.6546,102.49,22,75,10.36,US,1659565410
kavaratti,72.642,10.5669,77.5,89,100,34.65,IN,1659565411
bambous virieux,57.7575,-20.3428,68.25,77,40,6.91,MU,1659565411
ruatoria,,,,,,,,
karauzyak,,,,,,,,
mozhaysk,36.0272,55.5019,66.87,74,100,2.73,RU,1659565412
vardo,31.1107,70.3705,51.78,100,100,3.44,NO,1659565412
teya,92.6267,60.3778,50.04,99,100,2.73,RU,1659565412
ust-maya,134.5333,60.4167,68.16,64,100,7.05,RU,1659565413
solvychegodsk,46.9156,61.3305,65.64,78,96,2.84,RU,1659565413
wanning,110.3967,18.8003,79.41,88,100,6.96,CN,1659565253
cockburn harbour,,,,,,,,
chokurdakh,147.9167,70.6333,46.98,72,100,10.2,RU,1659565413
juneau,-134.4197,58.3019,59,97,100,3.44,US,1659565274
boa vista,-60.6733,2.8197,75.18,78,100,17.27,BR,1659565414
oda,132.5,35.1833,81.37,85,29,14.76,JP,1659565414
sozimskiy,52.2482,59.7418,59.97,78,100,1.83,RU,1659565414
flin flon,-101.865,54.7682,67.84,40,75,9.22,CA,1659565415
svetlaya,138.3297,46.5389,66.33,98,90,1.07,RU,1659565415
nanortalik,-45.2371,60.1432,50.23,91,100,20.54,GL,1659565416
sokolow podlaski,22.2531,52.4068,64.42,69,77,7.9,PL,1659565416
oistins,-59.5333,13.0667,82.51,78,75,18.41,BB,1659565416
mahadday weyne,,,,,,,,
vilcun,-72.2333,-38.65,43.54,90,19,2.01,CL,1659565417
klyuchi,79.1667,52.2667,56.84,61,23,7.72,RU,1659565417
jarjis,,,,,,,,
mergui,,,,,,,,
buchanan,-10.0467,5.8808,75.74,86,89,10.11,LR,1659565418
takoradi,-1.7554,4.8845,72.54,81,10,8.57,GH,1659565418
lompoc,-120.4579,34.6391,93.69,68,0,12.66,US,1659565418
alofi,-169.9187,-19.0595,80.49,65,45,14.97,NU,1659565418
luangwa,30.4167,-15.6167,70.68,61,90,3.89,ZM,1659565419
karaul,,,,,,,,
cidreira,-50.2056,-30.1811,62.51,93,77,19.13,BR,1659565419
sorvag,,,,,,,,
yongan,113.6871,39.6957,71.2,78,61,3.74,CN,1659565419
tombouctou,-3,20,84.25,57,39,16.08,ML,1659565420
pangnirtung,-65.7125,66.1451,48.2,81,75,4.61,CA,1659565420
benguela,13.4055,-12.5763,65.61,79,0,4.18,AO,1659565420
ajdabiya,20.2263,30.7554,82,37,0,10.18,LY,1659565421
haines junction,-137.5108,60.7522,62.55,63,100,8.05,CA,1659565421
itaueira,-43.0256,-7.6033,85.98,39,59,11.07,BR,1659565421
pingliang,106.6861,35.5392,68.59,86,4,2.1,CN,1659565422
severo-kurilsk,156.125,50.6789,54.75,82,47,6.82,RU,1659565422
tawkar,,,,,,,,
garowe,48.4845,8.4054,74.07,71,36,29.95,SO,1659565422
yulara,130.9889,-25.2406,54.34,46,86,7.61,AU,1659565211
tsihombe,,,,,,,,
ilhabela,-45.3581,-23.7781,67.75,90,9,7.87,BR,1659565423
dese,39.6333,11.1333,55.62,80,97,2.73,ET,1659565423
srednekolymsk,153.6833,67.45,52.57,84,100,5.06,RU,1659565423
manta,-80.7333,-0.95,74.98,73,75,8.05,EC,1659565424
yarada,83.2667,17.65,82.72,83,40,2.3,IN,1659565424
ostrovnoy,39.5131,68.0531,53.8,88,34,15.88,RU,1659565424
arkhangelsk,40.5433,64.5401,51.91,100,20,4.47,RU,1659565425
amot,7.9877,59.5714,54.77,95,44,2.91,NO,1659565425
vestmannaeyjar,-20.2734,63.4427,48.29,75,59,25.77,IS,1659565425
rawson,-65.1023,-43.3002,48.04,67,26,14,AR,1659565426
marcona,,,,,,,,
hailar,119.7,49.2,69.76,72,13,7.9,CN,1659565426
nalut,10.85,30.3333,87.87,22,3,2.19,LY,1659565426
alta floresta,-56.0861,-9.8756,85.08,29,73,4.05,BR,1659565427
seydi,62.9137,39.4816,80.46,25,0,8.95,TM,1659565427
nuevo progreso,-97.95,23.1667,94.53,49,87,5.99,MX,1659565427
serenje,30.2352,-13.2325,59.74,67,90,6.46,ZM,1659565428
yumen,97.2,40.2833,74.52,35,0,11.63,CN,1659565428
andrelandia,-44.3092,-21.7397,67.66,53,38,5.35,BR,1659565428
okoneshnikovo,75.0834,54.8377,55.35,85,5,6.44,RU,1659565279
klaksvik,-6.589,62.2266,49.12,81,71,14.56,FO,1659565429
dzhusaly,,,,,,,,
vostok,135.8833,46.4856,67.57,91,76,3.02,RU,1659565429
mokhsogollokh,128.9203,61.4681,64.49,89,100,4.74,RU,1659565429
kieta,155.6333,-6.2167,80.29,84,90,6.17,PG,1659565430
great yarmouth,1.7305,52.6083,71.85,74,83,8.93,GB,1659565430
kuito,16.9333,-12.3833,61.2,48,9,3.42,AO,1659565430
acapulco,-99.8901,16.8634,87.62,70,75,5.75,MX,1659565268
san cristobal,-72.225,7.7669,75.38,85,99,2.75,VE,1659565431
saint anthony,-93.218,45.0205,86.14,45,40,17.27,US,1659565431
pangai,-174.35,-19.8,76.93,78,3,21.43,TO,1659565431
oyama,139.8,36.3,79.59,85,100,3.29,JP,1659565432
tabarqah,,,,,,,,
viedma,-62.9967,-40.8135,48.47,49,8,5.99,AR,1659565228
kamina,24.9906,-8.7386,65.16,39,1,5.41,CD,1659565432
altamira,-52.2064,-3.2033,81.64,58,99,0.74,BR,1659565432
zheleznodorozhnyy,38.0042,55.7503,68.61,57,100,4.92,RU,1659565433
puerto leguizamo,-74.7819,-0.1934,79.72,84,68,0.87,CO,1659565433
igarka,86.5833,67.4667,47.98,73,10,7.54,RU,1659565433
yalta,34.1667,44.5,71.73,70,0,5.17,UA,1659565434
manakara,48.0167,-22.1333,67.15,80,98,3.85,MG,1659565434
shelby,-89.8668,35.2001,93.15,62,20,8.05,US,1659565434
